Name,cid
Philip DeFranco,UClFSU9_bUb4Rc6OYfTt5SPw
vlogbrothers,UCGaVdbSav8xWuFWTadK6loA
Computerphile,UC9-y-6csu5WGm29I7JiwpnA
Real Engineering,UCR1IuLEqb6UEA_zQ81kwXfg
Grey Matter Studios,UCn_SUNsgvPkaDTuUd0LQ5_A
Simone Giertz,UC3KEoMzNz8eYnwBC34RaKCQ
Tom Stanton,UC67gfx2Fg7K2NSHqoENVgwA
Vox,UCLXo7UDZvByw2ixzpQCufnA
Medlife Crisis,UCgRBRE1DUP2w7HTH9j_L4OQ
Lex Fridman,UCSHZKyawb77ixDdsGog4iWA
ACW,UCqQz1biUSuyGX99dDjQLKtg
Late Night with Seth Meyers,UCVTyTA7-g9nopHeHbeuvpRA
minutephysics,UCUHW94eEFW7hkUMVaZz4eDg
Yes Theory,UCvK4bOhULCpmLabd2pDMtnA
Sabrina,UCqVEHtQoXHmUCfJ-9smpTSg
Johnny Harris,UCmGSJVG3mCRXVOP4yZrU1Dw
